pmid,title,authors,journal,year,doi,cited_by_count,abstract
35168091,Pharmaceutical algorithms set in a real time clinical decision support targeting high-alert medications applied to pharmaceutical analysis,"Potier A, Dufay E, Dony A, Divoux E, Arnoux LA, Boschetti E, Piney D, Dupont C, Berquand I, Calvo JC, Jay N, Demoré B.",Int J Med Inform,2022,10.1016/j.ijmedinf.2022.104708,0,
25341131,Ten commandments for effective clinical decision support for imaging: enabling evidence-based practice to improve quality and reduce waste,"Khorasani R, Hentel K, Darer J, Langlotz C, Ip IK, Manaker S, Cardella J, Min R, Seltzer S.",AJR Am J Roentgenol,2014,10.2214/ajr.14.13134,0,
27496930,STOPP/START version 2-development of software applications: easier said than done?,"Anrys P, Boland B, Degryse JM, De Lepeleire J, Petrovic M, Marien S, Dalleur O, Strauven G, Foulon V, Spinewine A.",Age Ageing,2016,10.1093/ageing/afw114,0,
23920561,Verbal protocols for assessing the usability of clinical decision support: the retrospective sense making protocol,"Balatsoukas P, Ainsworth J, Williams R, Carruthers E, Davies C, McGrath J, Akbarov A, Soiland-Reyes C, Badiyani S, Buchan I.",Stud Health Technol Inform,2013,,0,
26577521,Integrating Biomarkers for Underlying Alzheimer's Disease in Mild Cognitive Impairment in Daily Practice: Comparison of a Clinical Decision Support System with Individual Biomarkers,"Rhodius-Meester HF, Koikkalainen J, Mattila J, Teunissen CE, Barkhof F, Lemstra AW, Scheltens P, Lötjönen J, van der Flier WM.",J Alzheimers Dis,2016,10.3233/jad-150548,0,
30198324,Development and Implementation of a Subcutaneous Insulin Clinical Decision Support Tool for Hospitalized Patients,"Mathioudakis N, Jeun R, Godwin G, Perschke A, Yalamanchi S, Everett E, Greene P, Knight A, Yuan C, Hill Golden S.",J Diabetes Sci Technol,2019,10.1177/1932296818798036,0,
39049262,Development of Rules and Algorithms for an Intelligent and Integrated Older Care Model,"Guo R, Xiao S, Yang F, Fan H, Xiao Y, Yang X, Wu Y.",Stud Health Technol Inform,2024,10.3233/shti240146,0,
25024768,A toolbox to improve algorithms for insulin-dosing decision support,"Donsa K, Beck P, Plank J, Schaupp L, Mader JK, Truskaller T, Tschapeller B, Höll B, Spat S, Pieber TR.",Appl Clin Inform,2014,10.4338/aci-2014-04-ra-0033,0,
35201396,[Integrated care concepts and multidisciplinary process chains in a radiological context],"Bauer J, Kösel E, Henkel AG, Spinner CD, Kolisch R.",Radiologe,2022,10.1007/s00117-022-00976-x,0,
41364745,An Expert Knowledge Algorithm and Model Predicting Wound Healing Trends for a Decision Support System for Pressure Injury Management in Home Care Nursing: Development and Validation Study,"Kitamura A, Ando A, Nakagami G, Sanada H.",JMIR Nurs,2025,10.2196/65716,0,
28081896,[A computerised clinical decision-support system for the management of depression in Primary Care],"Aragonès E, Comín E, Cavero M, Pérez V, Molina C, Palao D.",Aten Primaria,2017,10.1016/j.aprim.2016.09.011,0,
25570663,Telemonitoring in heart failure patients with clinical decision support to optimize medication doses based on guidelines,"Kropf M, Modre-Osprian R, Hayn D, Fruhwald F, Schreier G.",Annu Int Conf IEEE Eng Med Biol Soc,2014,10.1109/embc.2014.6944295,0,
26258575,"Fast, Continuous Audiogram Estimation Using Machine Learning","Song XD, Wallace BM, Gardner JR, Ledbetter NM, Weinberger KQ, Barbour DL.",Ear Hear,2015,10.1097/aud.0000000000000186,0,
25596422,Exceeding chance level by chance: The caveat of theoretical chance levels in brain signal classification and statistical assessment of decoding accuracy,"Combrisson E, Jerbi K.",J Neurosci Methods,2015,10.1016/j.jneumeth.2015.01.010,0,
39239962,MyofAPPcial: Construct validity of a novel technological aid for improving clinical reasoning in the management of myofascial pain syndrome,"Valera-Calero JA, Varol U, Ortega-Santiago R, Navarro-Santana MJ, Díaz-Arribas MJ, Buffet-García J, Plaza-Manzano G.",Eur J Clin Invest,2024,10.1111/eci.14313,0,
40332662,Systemic inflammation mediates the relationship between urinary cadmium and chronic cough risk: findings based on multiple statistical models,"Wen J, Wang C, Liu R, Zhuang R, Liu Y, Li Y, Guo S.",Biometals,2025,10.1007/s10534-025-00690-w,0,
